s,a,r,sp
6E541_16,w,0.0,6E541_15
6E541_17,b,16.073164182636035,travel
6E541_17,w,0.0,6E541_16
6E541_18,b,17.568454255184307,travel
6E541_18,w,0.0,6E541_17
6E541_19,b,13.836159167244329,travel
6E541_19,w,0.0,6E541_18
6E541_2,b,0.0,6E541_1
6E541_2,w,0.0,6E541_1
6E541_20,b,20.138712343034854,travel
6E541_20,w,0.0,6E541_19
6E541_21,b,21.859271350857913,travel
6E541_21,w,0.0,6E541_20
6E541_22,b,22.09676736636248,travel
6E541_22,w,0.0,6E541_21
6E541_23,b,22.11337952619892,travel
6E541_23,w,0.0,6E541_22
6E541_24,b,17.568454255184307,travel
6E541_24,w,0.0,6E541_23
6E541_25,b,18.299212318320233,travel
6E541_25,w,0.0,6E541_24
6E541_26,b,20.011404856386893,travel
6E541_26,w,0.0,6E541_25
6E541_27,b,11.801482024740345,travel
6E541_27,w,0.0,6E541_26
6E541_28,b,20.801474870636063,travel
6E541_28,w,0.0,6E541_27
6E541_29,b,20.270754832559902,travel
6E541_29,w,0.0,6E541_28
6E541_3,b,0.0,6E541_2
6E541_3,w,0.0,6E541_2
6E541_30,b,20.270754832559902,travel
6E541_30,w,0.0,6E541_29
6E541_31,b,20.270754832559902,travel
6E541_31,w,0.0,6E541_30
6E541_32,b,21.859271350857913,travel
6E541_32,w,0.0,6E541_31
6E541_33,b,19.84067009765768,travel
6E541_33,w,0.0,6E541_32
6E541_34,b,23.67356343977765,travel
6E541_34,w,0.0,6E541_33
6E541_35,b,18.04055142493121,travel
6E541_35,w,0.0,6E541_34
6E541_36,b,21.859271350857913,travel
6E541_36,w,0.0,6E541_35
6E541_37,b,17.410641177028296,travel
6E541_37,w,0.0,6E541_36
6E541_38,b,21.859271350857913,travel
6E541_38,w,0.0,6E541_37
6E541_39,b,16.96907893527801,travel
6E541_39,w,0.0,6E541_38
6E541_4,b,0.0,6E541_3
6E541_4,w,0.0,6E541_3
6E541_40,b,18.25106302694629,travel
6E541_40,w,0.0,6E541_39
6E541_41,b,17.927606070386638,travel
6E541_41,w,0.0,6E541_40
6E541_42,b,17.568454255184307,travel
6E541_42,w,0.0,6E541_41
6E541_43,b,17.88271053213942,travel
6E541_43,w,0.0,6E541_42
6E541_44,b,16.96907893527801,travel
6E541_44,w,0.0,6E541_43
6E541_45,b,17.88271053213942,travel
6E541_45,w,0.0,6E541_44
6E541_46,b,17.88271053213942,travel
6E541_46,w,0.0,6E541_45
6E541_47,b,18.473200105416673,travel
6E541_47,w,0.0,6E541_46
6E541_48,b,18.95051404849024,travel
6E541_48,w,0.0,6E541_47
6E541_49,b,17.338407545341845,travel
6E541_49,w,0.0,6E541_48
6E541_5,b,0.0,6E541_4
6E541_5,w,0.0,6E541_4
6E541_6,b,0.0,6E541_5
6E541_6,w,0.0,6E541_5
6E541_7,b,0.0,6E541_6
6E541_7,w,0.0,6E541_6
6E541_8,b,0.0,6E541_7
6E541_8,w,0.0,6E541_7
6E541_9,b,0.0,6E541_8
6E541_9,w,0.0,6E541_8
6E575_0,b,16.801680653400926,travel
6E575_1,b,16.44040922795527,travel
6E575_1,w,0.0,6E575_0
6E575_10,b,14.280719423123802,travel
6E575_10,w,0.0,6E575_9
6E575_11,b,13.442929652750923,travel
6E575_11,w,0.0,6E575_10
6E575_12,b,15.158405335758678,travel
6E575_12,w,0.0,6E575_11
6E575_13,b,21.80443090116103,travel
6E575_13,w,0.0,6E575_12
6E575_14,b,19.735884867060097,travel
6E575_14,w,0.0,6E575_13
6E575_15,b,24.93765586034913,travel
6E575_15,w,0.0,6E575_14
6E575_16,b,22.221820752614043,travel
6E575_16,w,0.0,6E575_15
6E575_17,b,21.80443090116103,travel
6E575_17,w,0.0,6E575_16
6E575_18,b,21.242174583876047,travel
6E575_18,w,0.0,6E575_17
6E575_19,b,22.743829145975837,travel
6E575_19,w,0.0,6E575_18
6E575_2,b,15.825503100652648,travel
6E575_2,w,0.0,6E575_1
6E575_20,b,20.56514151975224,travel
6E575_20,w,0.0,6E575_19
6E575_21,b,23.956556419528077,travel
6E575_21,w,0.0,6E575_20
6E575_22,b,32.72251308900523,travel
6E575_22,w,0.0,6E575_21
6E575_23,b,21.80443090116103,travel
6E575_23,w,0.0,6E575_22
6E575_24,b,20.196915697818095,travel
6E575_24,w,0.0,6E575_23
6E575_25,b,16.44040922795527,travel
6E575_25,w,0.0,6E575_24
6E575_26,b,22.311155444265104,travel
6E575_26,w,0.0,6E575_25
6E575_27,b,18.258784778608568,travel
6E575_27,w,0.0,6E575_26
6E575_28,b,17.925549333734327,travel
6E575_28,w,0.0,6E575_27
6E575_29,b,32.72251308900523,travel
6E575_29,w,0.0,6E575_28
6E575_3,b,12.912916473787249,travel
6E575_3,w,0.0,6E575_2
6E575_30,b,17.925549333734327,travel
6E575_30,w,0.0,6E575_29
6E575_31,b,21.242174583876047,travel
6E575_31,w,0.0,6E575_30
6E575_32,b,17.04514014852879,travel
6E575_32,w,0.0,6E575_31
6E575_33,b,16.757963908781814,travel
6E575_33,w,0.0,6E575_32
6E575_34,b,17.04514014852879,travel
6E575_34,w,0.0,6E575_33
6E575_35,b,20.427038543097574,travel
6E575_35,w,0.0,6E575_34
6E575_36,b,32.72251308900523,travel
6E575_36,w,0.0,6E575_35
6E575_37,b,19.18360581984332,travel
6E575_37,w,0.0,6E575_36
6E575_38,b,19.937387417942283,travel
6E575_38,w,0.0,6E575_37
6E575_39,b,15.19408170579624,travel
6E575_39,w,0.0,6E575_38
6E575_4,b,15.825503100652648,travel
6E575_4,w,0.0,6E575_3
6E575_40,b,19.937387417942283,travel
6E575_40,w,0.0,6E575_39
6E575_41,b,16.731682990046647,travel
