s,a,r,sp
6E2017_40,b,19.13143294432753,travel
6E2017_40,w,0.0,6E2017_39
6E2017_41,b,14.46968600781363,travel
6E2017_41,w,0.0,6E2017_40
6E2017_42,b,20.973154362416107,travel
6E2017_42,w,0.0,6E2017_41
6E2017_43,b,15.08978421608571,travel
6E2017_43,w,0.0,6E2017_42
6E2017_44,b,17.20282126268708,travel
6E2017_44,w,0.0,6E2017_43
6E2017_45,b,17.20282126268708,travel
6E2017_45,w,0.0,6E2017_44
6E2017_46,b,13.542795232936077,travel
6E2017_46,w,0.0,6E2017_45
6E2017_47,b,19.13143294432753,travel
6E2017_47,w,0.0,6E2017_46
6E2017_48,b,14.46968600781363,travel
6E2017_48,w,0.0,6E2017_47
6E2017_49,b,13.542795232936077,travel
6E2017_49,w,0.0,6E2017_48
6E2017_5,b,16.113438607798905,travel
6E2017_5,w,0.0,6E2017_4
6E2017_6,b,10.359473738734073,travel
6E2017_6,w,0.0,6E2017_5
6E2017_7,b,23.815194093831863,travel
6E2017_7,w,0.0,6E2017_6
6E2017_8,b,20.973154362416107,travel
6E2017_8,w,0.0,6E2017_7
6E2017_9,b,23.815194093831863,travel
6E2017_9,w,0.0,6E2017_8
6E2028_0,b,0.0,travel
6E2028_0,w,0.0,notravel
6E2028_1,b,0.0,6E2028_0
6E2028_1,w,0.0,6E2028_0
6E2028_10,b,0.0,6E2028_9
6E2028_10,w,0.0,6E2028_9
6E2028_11,b,0.0,6E2028_10
6E2028_11,w,0.0,6E2028_10
6E2028_12,b,0.0,6E2028_11
6E2028_12,w,0.0,6E2028_11
6E2028_13,b,21.510002151000215,travel
6E2028_13,w,0.0,6E2028_12
6E2028_14,b,21.510002151000215,travel
6E2028_14,w,0.0,6E2028_13
6E2028_15,b,0.0,6E2028_14
6E2028_15,w,0.0,6E2028_14
6E2028_16,b,22.82583884957772,travel
6E2028_16,w,0.0,6E2028_15
6E2028_17,b,0.0,6E2028_16
6E2028_17,w,0.0,6E2028_16
6E2028_18,b,22.82583884957772,travel
6E2028_18,w,0.0,6E2028_17
6E2028_19,b,0.0,6E2028_18
6E2028_19,w,0.0,6E2028_18
6E2028_2,b,0.0,6E2028_1
6E2028_2,w,0.0,6E2028_1
6E2028_20,b,22.82583884957772,travel
6E2028_20,w,0.0,6E2028_19
6E2028_21,b,22.82583884957772,travel
6E2028_21,w,0.0,6E2028_20
6E2028_22,b,0.0,6E2028_21
6E2028_22,w,0.0,6E2028_21
6E2028_23,b,22.82583884957772,travel
6E2028_23,w,0.0,6E2028_22
6E2028_24,b,0.0,6E2028_23
6E2028_24,w,0.0,6E2028_23
6E2028_25,b,17.108639863130882,travel
6E2028_25,w,0.0,6E2028_24
6E2028_26,b,0.0,6E2028_25
6E2028_26,w,0.0,6E2028_25
6E2028_27,b,16.097875080489377,travel
6E2028_27,w,0.0,6E2028_26
6E2028_28,b,17.108639863130882,travel
6E2028_28,w,0.0,6E2028_27
6E2028_29,b,0.0,6E2028_28
6E2028_29,w,0.0,6E2028_28
6E2028_3,b,0.0,6E2028_2
6E2028_3,w,0.0,6E2028_2
6E2028_30,b,23.446658851113718,travel
6E2028_30,w,0.0,6E2028_29
6E2028_31,b,0.0,6E2028_30
6E2028_31,w,0.0,6E2028_30
6E2028_32,b,17.45810055865922,travel
6E2028_32,w,0.0,6E2028_31
6E2028_33,b,0.0,6E2028_32
6E2028_33,w,0.0,6E2028_32
6E2028_34,b,16.404199475065617,travel
6E2028_34,w,0.0,6E2028_33
6E2028_35,b,17.45810055865922,travel
6E2028_35,w,0.0,6E2028_34
6E2028_36,b,0.0,6E2028_35
6E2028_36,w,0.0,6E2028_35
6E2028_37,b,23.446658851113718,travel
6E2028_37,w,0.0,6E2028_36
6E2028_38,b,0.0,6E2028_37
6E2028_38,w,0.0,6E2028_37
6E2028_39,b,17.45810055865922,travel
6E2028_39,w,0.0,6E2028_38
6E2028_4,b,0.0,6E2028_3
6E2028_4,w,0.0,6E2028_3
6E2028_40,b,0.0,6E2028_39
6E2028_40,w,0.0,6E2028_39
6E2028_41,b,16.404199475065617,travel
6E2028_41,w,0.0,6E2028_40
6E2028_42,b,17.45810055865922,travel
6E2028_42,w,0.0,6E2028_41
6E2028_43,b,0.0,6E2028_42
6E2028_43,w,0.0,6E2028_42
6E2028_44,b,23.446658851113718,travel
6E2028_44,w,0.0,6E2028_43
6E2028_45,b,0.0,6E2028_44
6E2028_45,w,0.0,6E2028_44
6E2028_46,b,17.45810055865922,travel
6E2028_46,w,0.0,6E2028_45
6E2028_47,b,0.0,6E2028_46
6E2028_47,w,0.0,6E2028_46
6E2028_48,b,16.404199475065617,travel
6E2028_48,w,0.0,6E2028_47
6E2028_49,b,17.45810055865922,travel
6E2028_49,w,0.0,6E2028_48
6E2028_5,b,0.0,6E2028_4
6E2028_5,w,0.0,6E2028_4
6E2028_6,b,0.0,6E2028_5
6E2028_6,w,0.0,6E2028_5
6E2028_7,b,0.0,6E2028_6
6E2028_7,w,0.0,6E2028_6
6E2028_8,b,0.0,6E2028_7
6E2028_8,w,0.0,6E2028_7
6E2028_9,b,0.0,6E2028_8
6E2028_9,w,0.0,6E2028_8
6E2033_0,b,9.287074649847415,travel
6E2033_1,b,13.921895313847283,travel
6E2033_1,w,0.0,6E2033_0
6E2033_10,b,22.74516149323304,travel
6E2033_10,w,0.0,6E2033_9
6E2033_11,b,22.416689822883054,travel
6E2033_11,w,0.0,6E2033_10
6E2033_12,b,21.427757140416894,travel
6E2033_12,w,0.0,6E2033_11
6E2033_13,b,15.381419770541081,travel
6E2033_13,w,0.0,6E2033_12
6E2033_14,b,20.340444698096007,travel
6E2033_14,w,0.0,6E2033_13
6E2033_15,b,19.586520408690944,travel
6E2033_15,w,0.0,6E2033_14
6E2033_16,b,19.834812264214264,travel
6E2033_16,w,0.0,6E2033_15
6E2033_17,b,23.49855938369957,travel
6E2033_17,w,0.0,6E2033_16
6E2033_18,b,18.23620685501426,travel
6E2033_18,w,0.0,6E2033_17
6E2033_19,b,17.588380613417296,travel
6E2033_19,w,0.0,6E2033_18
6E2033_2,b,15.808818308582254,travel
6E2033_2,w,0.0,6E2033_1
6E2033_20,b,16.49185766242425,travel
6E2033_20,w,0.0,6E2033_19
6E2033_21,b,18.0317995932535,travel
6E2033_21,w,0.0,6E2033_20
6E2033_22,b,17.39894440118784,travel
6E2033_22,w,0.0,6E2033_21
6E2033_23,b,18.076326788540175,travel
6E2033_23,w,0.0,6E2033_22
6E2033_24,b,18.54188553871806,travel
6E2033_24,w,0.0,6E2033_23
6E2033_25,b,18.84111519936707,travel
6E2033_25,w,0.0,6E2033_24
6E2033_26,b,18.498167955170274,travel
6E2033_26,w,0.0,6E2033_25
6E2033_27,b,14.328680196266534,travel
6E2033_27,w,0.0,6E2033_26
6E2033_28,b,14.549938487910971,travel
6E2033_28,w,0.0,6E2033_27
6E2033_29,b,14.917987663655376,travel
6E2033_29,w,0.0,6E2033_28
6E2033_3,b,20.872136050663055,travel
6E2033_3,w,0.0,6E2033_2
6E2033_30,b,14.679190922495655,travel
6E2033_30,w,0.0,6E2033_29
6E2033_31,b,18.118425569074144,travel
6E2033_31,w,0.0,6E2033_30
6E2033_32,b,14.690488490994035,travel
6E2033_32,w,0.0,6E2033_31
6E2033_33,b,15.78387901612645,travel
6E2033_33,w,0.0,6E2033_32
6E2033_34,b,16.18154568568239,travel
6E2033_34,w,0.0,6E2033_33
6E2033_35,b,16.21347817037931,travel
6E2033_35,w,0.0,6E2033_34
6E2033_36,b,17.054413901460702,travel
6E2033_36,w,0.0,6E2033_35
6E2033_37,b,16.395450330369368,travel
6E2033_37,w,0.0,6E2033_36
6E2033_38,b,16.77125433910565,travel
6E2033_38,w,0.0,6E2033_37
6E2033_39,b,16.13266853338706,travel
6E2033_39,w,0.0,6E2033_38
6E2033_4,b,16.57092961954134,travel
6E2033_4,w,0.0,6E2033_3
6E2033_40,b,16.104071234584353,travel
6E2033_40,w,0.0,6E2033_39
